Delivery_person_Age,Delivery_person_Ratings,Type_of_order,Type_of_vehicle,Time_taken(min),distance_km
21,4.9,Snack ,motorcycle ,18,1.5367469794092732
32,5.0,Drinks ,scooter ,15,10.48574789633866
35,4.4,Meal ,motorcycle ,33,1.5137004246299195
39,4.9,Meal ,motorcycle ,26,4.58903875102421
32,4.6,Drinks ,scooter ,30,19.914686965545187
37,5.0,Meal ,scooter ,28,10.683799592737405
20,4.7,Buffet ,scooter ,15,3.145067434621583
25,4.9,Drinks ,motorcycle ,19,7.790489304769407
32,4.9,Drinks ,motorcycle ,51,10.86627754255923
21,5.0,Snack ,motorcycle ,10,13.40588385177958
39,4.5,Drinks ,motorcycle ,28,13.789066440485813
24,4.8,Snack ,motorcycle ,19,17.13751702263965
27,4.7,Snack ,motorcycle ,21,6.037605711784208
32,4.8,Drinks ,scooter ,20,10.705468478530609
25,5.0,Drinks ,motorcycle ,16,1.5204186010643506
22,4.6,Buffet ,scooter ,24,6.29013467763468
22,2.9,Drinks ,scooter ,33,13.40647565433019
32,4.2,Drinks ,motorcycle ,31,6.036610249816451
31,5.0,Drinks ,scooter ,26,13.631339548300275
20,4.9,Buffet ,motorcycle ,24,9.12210553959038
37,4.8,Drinks ,motorcycle ,29,19.882650147415998
38,4.6,Buffet ,motorcycle ,24,7.762461854550194
39,4.3,Drinks ,motorcycle ,23,1.5545511732988062
36,4.9,Meal ,motorcycle ,19,9.219878421275038
26,4.2,Buffet ,motorcycle ,29,1.5581369822072066
20,5.0,Meal ,scooter ,10,9.121036990826918
27,4.5,Drinks ,motorcycle ,22,1.5303005968363894
27,4.8,Buffet ,scooter ,26,20.18085916835158
38,5.0,Snack ,scooter ,42,13.406506203190967
26,4.9,Snack ,motorcycle ,27,13.971950882978046
30,4.9,Drinks ,electric_scooter ,15,1.5125847685793798
31,4.9,Snack ,scooter ,26,6.29013467763468
24,4.9,Snack ,motorcycle ,10,9.435201537430714
35,4.8,Meal ,motorcycle ,21,3.1162384958431986
27,4.6,Meal ,motorcycle ,29,10.642283429605715
29,4.9,Drinks ,motorcycle ,21,4.658001279265391
21,4.9,Drinks ,motorcycle ,33,20.183529728733618
30,4.8,Meal ,scooter ,28,7.7720962407184935
35,4.5,Buffet ,scooter ,29,9.314781588433535
31,5.0,Meal ,electric_scooter ,28,19.343598666770653
31,4.1,Buffet ,motorcycle ,33,7.646414103068861
33,4.3,Drinks ,motorcycle ,35,16.819856608097247
37,4.6,Buffet ,motorcycle ,28,17.29786575291325
22,4.5,Drinks ,motorcycle ,42,20.44292976252901
23,4.9,Snack ,scooter ,18,7.772220444452982
24,4.6,Snack ,electric_scooter ,18,13.390667794393671
28,4.8,Drinks ,motorcycle ,13,9.193014472266961
23,5.0,Meal ,motorcycle ,23,1.5544994921789965
21,4.9,Meal ,motorcycle ,20,16.819856608097247
37,4.3,Meal ,scooter ,47,16.830461294557434
29,4.6,Drinks ,motorcycle ,33,4.589124571257244
28,4.8,Snack ,motorcycle ,45,16.72115728076054
21,4.7,Drinks ,electric_scooter ,27,12.435401342193114
32,4.7,Drinks ,motorcycle ,29,13.787860239172547
26,4.9,Snack ,motorcycle ,30,10.905993510336609
33,4.6,Drinks ,motorcycle ,17,9.32728515796102
29,4.5,Meal ,motorcycle ,20,3.1053699758611546
20,4.7,Buffet ,motorcycle ,15,20.28614407421586
21,4.6,Meal ,scooter ,13,7.562267471532845
29,4.6,Drinks ,scooter ,47,20.071865213013947
38,4.0,Snack ,scooter ,33,4.657654937060173
34,4.8,Meal ,electric_scooter ,23,12.25659774869038
35,5.0,Meal ,motorcycle ,35,10.906036622245484
34,4.8,Snack ,electric_scooter ,25,7.772038818805718
28,4.3,Snack ,electric_scooter ,43,13.620991695070186
22,5.0,Drinks ,motorcycle ,24,11.923472540743209
33,4.7,Meal ,motorcycle ,36,3.052701203227866
24,4.1,Drinks ,motorcycle ,46,6.29013467763468
21,4.7,Buffet ,scooter ,12,7.60161677107109
30,4.6,Drinks ,motorcycle ,34,7.490065970202631
23,4.6,Buffet ,scooter ,44,17.166080388499672
37,4.7,Meal ,scooter ,11,4.589834614418373
32,4.7,Drinks ,motorcycle ,40,10.80810834240692
20,4.7,Drinks ,motorcycle ,32,7.5620699721624804
39,4.6,Meal ,scooter ,30,6.17528357530834
33,4.9,Snack ,motorcycle ,27,7.646982582847267
38,4.8,Meal ,scooter ,17,3.025345653222032
34,5.0,Drinks ,motorcycle ,25,16.47598057072457
30,4.7,Snack ,scooter ,16,6.210605364096597
30,3.0,Drinks ,motorcycle ,34,17.138295790539786
21,5.0,Buffet ,scooter ,13,9.32728515796102
37,4.3,Buffet ,scooter ,35,7.66052012420465
30,4.8,Buffet ,scooter ,30,2.976635343491255
34,4.8,Meal ,scooter ,29,9.314030628228021
39,4.7,Drinks ,motorcycle ,39,4.663772762376294
33,4.6,Buffet ,motorcycle ,22,3.0405415100027917
28,4.7,Buffet ,electric_scooter ,12,9.121874253616898
26,4.6,Buffet ,motorcycle ,22,1.5263914730559738
32,4.6,Snack ,motorcycle ,32,7.763180727989777
24,4.6,Meal ,motorcycle ,36,14.044162320601597
31,4.2,Meal ,motorcycle ,34,14.022253080995233
24,5.0,Drinks ,scooter ,10,7.631222020276562
38,5.0,Drinks ,motorcycle ,30,6.29013467763468
34,4.5,Meal ,motorcycle ,19,1.514793721388757
29,4.6,Snack ,electric_scooter ,32,1.529751878579505
21,4.0,Meal ,scooter ,37,17.072871906399556
29,4.6,Snack ,motorcycle ,24,12.080081518351331
31,3.5,Buffet ,motorcycle ,37,11.919755989352295
24,4.6,Snack ,scooter ,14,6.147194518583352
29,4.6,Drinks ,motorcycle ,12,1.5093577696337532
38,4.5,Drinks ,motorcycle ,23,7.8626681674103684
25,4.7,Buffet ,motorcycle ,25,9.17813837505589
20,4.9,Buffet ,motorcycle ,30,10.485895839678308
24,4.1,Buffet ,motorcycle ,25,3.145067434621583
34,4.7,Buffet ,motorcycle ,22,17.074904296042025
33,4.6,Buffet ,motorcycle ,26,20.505025636231377
33,5.0,Meal ,scooter ,28,10.416889336224843
30,3.8,Drinks ,scooter ,40,10.704672233866505
29,4.7,Snack ,motorcycle ,22,12.580267822400963
32,4.5,Buffet ,motorcycle ,29,3.0589686156370437
36,4.9,Meal ,motorcycle ,26,3.1051449132268645
26,4.6,Buffet ,motorcycle ,21,9.363623288888856
29,4.9,Drinks ,scooter ,18,9.348128423503157
27,4.6,Buffet ,motorcycle ,16,8.988016321481421
32,4.9,Drinks ,motorcycle ,19,6.058870515565882
32,4.2,Buffet ,motorcycle ,31,1.4901739564930154
22,4.7,Meal ,motorcycle ,17,10.86869350467311
23,4.6,Meal ,motorcycle ,21,6.128249797982013
29,4.8,Drinks ,motorcycle ,39,12.099096916817198
29,4.6,Drinks ,motorcycle ,22,6.08119089136717
23,4.7,Snack ,motorcycle ,31,6.242341033681714
32,4.9,Meal ,scooter ,21,1.4883145491309553
25,4.6,Snack ,electric_scooter ,16,6.20953271391644
29,4.6,Drinks ,scooter ,22,6.037474189824093
30,4.7,Snack ,scooter ,17,1.5204190072774333
38,4.3,Meal ,scooter ,37,3.11620371432348
24,4.7,Meal ,motorcycle ,30,16.72253446733555
21,4.7,Buffet ,motorcycle ,18,17.078665498349437
28,4.0,Meal ,electric_scooter ,34,7.761726486394523
27,5.0,Buffet ,motorcycle ,22,14.021812013196106
20,4.7,Buffet ,motorcycle ,22,13.68160171925017
30,4.3,Meal ,motorcycle ,38,19.916122613819716
38,4.8,Buffet ,scooter ,20,12.580267822400963
26,4.0,Meal ,electric_scooter ,32,10.641407763221139
28,4.7,Meal ,motorcycle ,22,12.417687564200063
26,4.7,Meal ,motorcycle ,24,16.902993744245755
38,4.9,Buffet ,scooter ,29,10.867366120252031
38,4.5,Drinks ,scooter ,21,4.46931202175492
36,4.7,Meal ,motorcycle ,21,12.161512247541568
23,4.6,Drinks ,electric_scooter ,18,16.635223376953338
25,4.8,Snack ,motorcycle ,16,2.937202765995465
23,4.6,Snack ,motorcycle ,23,5.952943315709552
25,5.0,Snack ,motorcycle ,28,8.79025128458564
20,4.1,Drinks ,electric_scooter ,34,19.890503583967206
23,4.7,Buffet ,motorcycle ,29,12.435302723482724
25,4.9,Drinks ,electric_scooter ,27,19.3626986679347
24,4.9,Snack ,motorcycle ,11,1.5204186010643506
33,4.7,Buffet ,motorcycle ,26,1.5204704557283455
33,4.5,Snack ,motorcycle ,53,19.916274899797408
23,4.8,Meal ,scooter ,22,4.596251207088927
21,4.6,Buffet ,motorcycle ,23,3.145067434621583
31,4.8,Buffet ,motorcycle ,42,12.43568904742551
27,4.9,Drinks ,motorcycle ,18,10.723286946137813
27,4.5,Meal ,motorcycle ,16,20.178100872931342
31,4.5,Drinks ,motorcycle ,20,9.121796528794311
39,4.9,Drinks ,scooter ,33,1.4901739564930154
25,4.8,Snack ,motorcycle ,18,9.348134176984027
34,5.0,Snack ,motorcycle ,23,11.007734763744617
27,4.8,Buffet ,motorcycle ,15,10.757536302641865
30,4.8,Buffet ,scooter ,28,4.537940846050908
28,4.8,Buffet ,scooter ,16,6.209250269756872
35,4.6,Buffet ,scooter ,18,13.583078662317007
24,4.7,Drinks ,motorcycle ,27,4.5890994584359515
34,3.6,Drinks ,electric_scooter ,37,12.243495934752104
39,4.7,Snack ,scooter ,26,19.688394563498182
31,4.7,Buffet ,scooter ,19,10.867434750937747
32,4.6,Drinks ,electric_scooter ,19,3.105492716560946
35,4.7,Snack ,scooter ,11,3.0594028768209838
34,5.0,Drinks ,motorcycle ,21,20.183529728733618
30,4.2,Drinks ,motorcycle ,44,10.906379374468557
31,4.1,Meal ,motorcycle ,26,1.572533729286321
24,4.2,Buffet ,scooter ,39,10.865584127340643
39,4.4,Buffet ,motorcycle ,37,10.704238934519315
32,4.3,Buffet ,motorcycle ,33,9.314781588433535
25,4.9,Buffet ,motorcycle ,12,7.4411463368398385
31,4.6,Meal ,motorcycle ,44,12.580267822400963
21,4.6,Drinks ,motorcycle ,22,12.162009006258288
29,4.6,Drinks ,motorcycle ,30,19.76017824329294
38,4.7,Drinks ,electric_scooter ,26,1.558114851289754
24,4.3,Drinks ,motorcycle ,40,19.394555235256966
36,5.0,Meal ,scooter ,15,7.772343594464245
29,4.8,Snack ,scooter ,25,16.824549100074805
27,4.8,Snack ,scooter ,15,4.610035602260694
35,5.0,Snack ,motorcycle ,17,3.105049191152739
24,5.0,Snack ,motorcycle ,42,13.830282747997192
29,5.0,Buffet ,electric_scooter ,23,10.906058503327221
32,4.1,Drinks ,motorcycle ,38,8.937880155829204
36,4.9,Snack ,motorcycle ,16,4.395412963628291
38,5.0,Meal ,motorcycle ,20,1.5094817638297648
29,4.8,Buffet ,motorcycle ,15,9.219783818326418
35,4.6,Meal ,motorcycle ,25,1.552560983126433
30,4.7,Snack ,motorcycle ,28,5016.720909789413
39,4.7,Drinks ,scooter ,16,12.293677673573285
24,4.8,Drinks ,scooter ,27,16.63495545420892
22,4.8,Snack ,motorcycle ,21,1.554543733521478
39,4.7,Drinks ,motorcycle ,43,14.15280068944862
24,3.7,Snack ,motorcycle ,46,6.049788909378549
22,4.9,Snack ,scooter ,11,7.651068542725116
34,4.4,Snack ,motorcycle ,34,12.419634114062013
37,5.0,Buffet ,scooter ,22,7.601876617115989
30,4.8,Buffet ,motorcycle ,41,10.641928366460489
22,4.6,Buffet ,motorcycle ,17,1.4923452792807805
23,4.6,Meal ,electric_scooter ,21,7.448298968601334
26,4.6,Buffet ,motorcycle ,23,17.07644834661623
26,4.6,Meal ,scooter ,18,1.5300320235211002
35,5.0,Drinks ,motorcycle ,27,2.984608225622922
37,3.7,Buffet ,scooter ,33,12.236790662986138
25,4.9,Drinks ,scooter ,29,1.5136457231088551
38,5.0,Buffet ,scooter ,21,3.058697313879674
36,4.7,Buffet ,scooter ,22,6.128850978538233
30,4.8,Snack ,motorcycle ,53,13.682164589270348
29,4.6,Meal ,scooter ,30,6.037614687084906
27,4.8,Buffet ,motorcycle ,12,7.631500138051357
32,4.9,Buffet ,scooter ,29,3.1051314775458967
22,4.9,Buffet ,electric_scooter ,12,3.0527405326198527
36,4.7,Meal ,motorcycle ,41,13.969760212954796
39,4.8,Buffet ,motorcycle ,27,7.49036393357073
26,5.0,Buffet ,motorcycle ,16,7.325601106656934
21,4.8,Drinks ,motorcycle ,16,1.5523182877499084
33,4.9,Snack ,scooter ,16,7.7626338661018774
31,4.8,Meal ,motorcycle ,18,7.660582694185052
35,4.7,Meal ,motorcycle ,24,14.15280068944862
25,4.1,Drinks ,motorcycle ,28,3.025332706173566
26,4.7,Buffet ,scooter ,27,4.530103329085553
25,4.8,Drinks ,scooter ,17,13.969760212954796
29,5.0,Buffet ,motorcycle ,39,9.348356419300423
38,4.7,Buffet ,scooter ,42,13.788169484007305
32,4.8,Snack ,scooter ,23,13.762754362295334
36,4.6,Drinks ,motorcycle ,54,11.9165950600701
23,4.8,Meal ,scooter ,19,1.572533729286321
23,4.5,Meal ,scooter ,21,19.628433732209125
24,5.0,Buffet ,scooter ,23,7.8626681674103684
20,4.6,Buffet ,motorcycle ,10,7.562982485200135
38,4.8,Drinks ,motorcycle ,27,7.461162575789885
35,4.9,Meal ,scooter ,27,7.772252870923808
35,4.7,Buffet ,motorcycle ,26,16.72211837577326
30,4.6,Snack ,motorcycle ,16,11.007734763744617
35,4.3,Snack ,scooter ,37,10.429850454296803
36,4.8,Snack ,motorcycle ,48,16.720605641529577
37,5.0,Meal ,motorcycle ,25,9.326616887755375
32,4.6,Meal ,motorcycle ,29,7.562333809640329
29,4.9,Meal ,scooter ,25,13.970652591255588
22,5.0,Buffet ,motorcycle ,15,9.07434222926449
24,4.8,Drinks ,motorcycle ,10,3.105091522701049
34,4.6,Buffet ,motorcycle ,48,20.25305420828035
37,4.6,Snack ,motorcycle ,29,12.237791615217148
36,4.8,Buffet ,motorcycle ,20,12.23656153955492
22,4.7,Meal ,scooter ,39,13.582337494192409
32,4.7,Drinks ,motorcycle ,27,13.680927409309072
21,4.7,Snack ,motorcycle ,28,1.520309052937885
29,4.6,Meal ,scooter ,16,16.90295553948897
20,3.5,Buffet ,scooter ,36,11.007734763744617
21,5.0,Meal ,scooter ,24,6.117725989708161
29,4.6,Snack ,motorcycle ,19,7.66101794664148
37,4.0,Drinks ,motorcycle ,39,11.007734763744617
25,4.6,Meal ,scooter ,20,6.128501214162246
37,4.0,Snack ,motorcycle ,54,13.611585111772158
36,4.2,Buffet ,motorcycle ,31,16.601046189403377
27,4.7,Buffet ,motorcycle ,18,9.074684164326316
30,4.9,Drinks ,motorcycle ,23,2.984638285081008
29,4.6,Meal ,motorcycle ,27,6.080882967594328
35,4.9,Buffet ,motorcycle ,34,4.537516076226438
20,5.0,Meal ,scooter ,12,5.9587562421893265
38,4.8,Drinks ,motorcycle ,28,9.121425981981247
29,4.6,Drinks ,motorcycle ,24,8.79014067052428
30,4.8,Drinks ,motorcycle ,40,17.097651549864548
36,4.3,Meal ,motorcycle ,35,9.121049806498666
31,4.6,Meal ,scooter ,16,4.528570754218756
39,4.6,Buffet ,motorcycle ,30,6.037544630194255
29,4.6,Meal ,motorcycle ,23,20.969028454523297
28,4.7,Meal ,motorcycle ,10,1.5302997807730145
33,4.6,Drinks ,motorcycle ,26,4.66364460686909
29,4.5,Drinks ,motorcycle ,12,1.5091393275325462
28,5.0,Meal ,electric_scooter ,26,12.46418980459368
21,4.8,Buffet ,scooter ,23,16.388478196037884
23,4.6,Snack ,motorcycle ,30,13.622067322393534
29,4.6,Meal ,motorcycle ,27,6.29013467763468
38,4.9,Meal ,motorcycle ,15,20.181034547352503
37,4.7,Meal ,scooter ,27,4.5967456266495255
39,4.8,Snack ,scooter ,27,16.65990378949706
26,4.8,Meal ,motorcycle ,25,7.325157361461918
36,4.8,Meal ,motorcycle ,29,9.313614929815012
38,4.3,Snack ,motorcycle ,38,13.409281444578205
33,4.7,Meal ,scooter ,23,3.0734537599377685
25,4.8,Meal ,motorcycle ,38,10.880651848535559
24,4.2,Drinks ,electric_scooter ,31,13.98984971037147
39,4.1,Drinks ,motorcycle ,35,12.434585525064866
22,4.7,Meal ,electric_scooter ,29,10.923997060639222
28,4.8,Snack ,motorcycle ,22,16.59866734050554
29,4.6,Drinks ,motorcycle ,28,12.41848049973811
23,4.1,Buffet ,motorcycle ,32,10.564981870374336
30,4.9,Snack ,electric_scooter ,26,1.5293087736834532
23,4.7,Drinks ,motorcycle ,20,1.552331352726081
31,4.7,Meal ,motorcycle ,26,9.074486316335918
24,4.5,Meal ,motorcycle ,15,10.59448610627046
22,4.5,Drinks ,scooter ,10,7.545174704993206
39,3.8,Buffet ,electric_scooter ,38,19.36744052557847
23,4.8,Snack ,motorcycle ,29,6.040041980294026
33,5.0,Meal ,motorcycle ,43,19.364487993280896
22,4.9,Meal ,motorcycle ,25,9.080676816810893
25,5.0,Meal ,motorcycle ,16,1.5125847685793798
29,4.6,Buffet ,scooter ,22,10.58713106938149
26,4.8,Buffet ,motorcycle ,22,4.590648124312415
28,4.7,Snack ,motorcycle ,24,14.15280068944862
37,5.0,Drinks ,motorcycle ,49,9.121044921629522
35,5.0,Drinks ,motorcycle ,11,7.790172211356696
30,4.7,Drinks ,scooter ,23,10.641103649666686
39,4.6,Drinks ,scooter ,35,20.181186875221297
22,4.2,Drinks ,motorcycle ,24,4.657654937060173
37,4.9,Meal ,motorcycle ,35,12.098699936279857
22,4.7,Drinks ,scooter ,37,13.973947080769713
35,5.0,Drinks ,scooter ,29,4.674266565274251
23,4.9,Buffet ,motorcycle ,19,13.82927367256702
27,4.9,Drinks ,scooter ,22,7.562333809640329
20,4.9,Snack ,motorcycle ,34,12.464369459117805
37,3.6,Snack ,motorcycle ,32,10.641604779432296
30,4.7,Drinks ,motorcycle ,37,9.314044064891696
39,4.6,Snack ,motorcycle ,35,13.405918573024547
26,5.0,Drinks ,scooter ,17,7.762461854550194
31,4.6,Buffet ,scooter ,17,20.44292976252901
31,4.9,Meal ,motorcycle ,33,4.632302885852554
38,5.0,Drinks ,motorcycle ,24,9.22083460710881
30,4.2,Meal ,motorcycle ,43,10.425475100056351
32,4.6,Snack ,motorcycle ,23,9.315745106316243
27,4.4,Drinks ,scooter ,36,12.293569688294703
23,4.9,Drinks ,motorcycle ,27,16.608066712030592
27,4.8,Meal ,motorcycle ,45,10.724960763776828
38,4.6,Meal ,scooter ,15,2.9796265189931233
22,4.9,Snack ,motorcycle ,19,4.3953626610863985
23,4.6,Buffet ,motorcycle ,30,12.484641305205987
36,4.3,Meal ,motorcycle ,34,3.0589686156370437
30,5.0,Meal ,scooter ,20,17.09799694004444
32,4.8,Meal ,motorcycle ,35,6.209021101535612
21,4.9,Meal ,motorcycle ,24,10.704161271430333
28,4.9,Drinks ,electric_scooter ,27,4.544264509631538
25,4.7,Buffet ,scooter ,21,17.29786575291325
36,4.9,Buffet ,motorcycle ,16,3.026096197898999
27,4.3,Meal ,motorcycle ,31,6.232180611484166
28,5.0,Buffet ,motorcycle ,18,7.461394236453525
29,5.0,Buffet ,motorcycle ,42,14.15280068944862
22,4.6,Snack ,motorcycle ,13,4.674280112157379
29,5.0,Buffet ,electric_scooter ,20,12.291841945089606
38,4.5,Snack ,motorcycle ,26,1.558114851289754
29,4.9,Snack ,motorcycle ,28,14.022476786450992
34,4.3,Buffet ,motorcycle ,24,9.313528459380548
20,4.0,Drinks ,motorcycle ,25,1.5147453171152914
24,4.7,Drinks ,motorcycle ,24,4.596477246826326
37,4.6,Drinks ,motorcycle ,49,6.217834398578936
38,4.1,Buffet ,scooter ,32,16.63531520325545
37,4.7,Snack ,motorcycle ,22,4.539068203248638
33,4.2,Meal ,scooter ,36,20.087481165167556
24,4.6,Buffet ,motorcycle ,27,14.15280068944862
32,5.0,Buffet ,motorcycle ,29,9.192770952683547
27,4.5,Meal ,motorcycle ,20,7.660957436559021
23,4.8,Drinks ,scooter ,22,1.5545266759919338
22,4.5,Snack ,motorcycle ,28,7.57343592001983
32,4.6,Meal ,motorcycle ,28,10.864870498856765
30,3.5,Buffet ,motorcycle ,32,12.435302723482724
29,4.7,Drinks ,scooter ,29,6.053660476427297
28,3.3,Buffet ,scooter ,42,10.86586608780909
39,4.9,Buffet ,electric_scooter ,24,3.064508186852737
38,4.4,Drinks ,electric_scooter ,41,19.76237198367898
28,5.0,Drinks ,motorcycle ,20,12.116950608888414
27,4.9,Meal ,motorcycle ,17,3.018883117682491
28,4.9,Meal ,motorcycle ,28,6.29013467763468
20,4.9,Buffet ,motorcycle ,14,6.050486021641428
39,4.8,Snack ,scooter ,15,3.1089029191679383
32,4.8,Meal ,motorcycle ,20,17.09752492719776
32,4.7,Drinks ,motorcycle ,25,4.528183776759067
30,4.8,Meal ,motorcycle ,47,6.21800234869445
24,4.8,Snack ,electric_scooter ,13,8.93778311563518
39,4.2,Snack ,motorcycle ,22,3.116121839413475
29,4.6,Drinks ,motorcycle ,51,12.580267822400963
21,4.7,Buffet ,scooter ,16,13.989450296958767
26,4.8,Meal ,motorcycle ,11,9.315028811002955
24,4.9,Buffet ,scooter ,10,4.657999585570663
20,4.0,Meal ,motorcycle ,42,10.586910515510665
29,4.6,Drinks ,electric_scooter ,17,13.969116967730173
24,4.5,Buffet ,motorcycle ,30,10.757108800258132
38,4.8,Drinks ,motorcycle ,17,1.5544772821910615
34,5.0,Drinks ,motorcycle ,15,9.193469879776632
29,4.7,Snack ,motorcycle ,24,17.138074588551884
39,4.3,Snack ,motorcycle ,22,9.121491544069729
27,4.8,Buffet ,scooter ,12,12.580267822400963
26,4.7,Buffet ,motorcycle ,19,4.674318760489487
33,4.9,Meal ,scooter ,26,13.971759900424741
39,4.9,Drinks ,motorcycle ,15,3.0189069957366157
39,3.6,Drinks ,motorcycle ,36,20.44292976252901
36,3.6,Meal ,scooter ,44,12.421242442902571
24,4.9,Buffet ,electric_scooter ,24,4.4691549592640305
26,4.6,Meal ,scooter ,20,3.073677586371296
20,4.9,Drinks ,electric_scooter ,27,17.07362495419754
29,4.6,Snack ,motorcycle ,24,19.618918347479877
25,4.8,Buffet ,motorcycle ,21,12.293502674441413
37,4.9,Snack ,scooter ,16,9.077679565695691
35,4.9,Buffet ,scooter ,32,7.66052012420465
29,4.8,Buffet ,motorcycle ,23,12.079253649322107
25,4.9,Snack ,scooter ,16,6.081091813811516
34,4.8,Buffet ,motorcycle ,20,1.5581398113186737
22,4.9,Meal ,electric_scooter ,13,12.099896960230076
23,5.0,Drinks ,scooter ,16,14.0219570899938
26,4.8,Meal ,scooter ,19,9.193373039577208
30,5.0,Drinks ,scooter ,19,9.055898607912091
21,4.7,Drinks ,motorcycle ,15,13.582337494192409
35,4.9,Buffet ,motorcycle ,31,9.121049806498666
29,4.5,Buffet ,motorcycle ,25,1.5294841760997977
26,4.6,Snack ,scooter ,15,7.562491288861812
29,4.6,Drinks ,electric_scooter ,22,10.254964515316598
35,4.6,Snack ,motorcycle ,30,9.348112475389563
31,5.0,Meal ,scooter ,48,17.076596635444833
25,4.0,Buffet ,motorcycle ,31,10.429850454296803
34,5.0,Drinks ,motorcycle ,26,3.0295246341921644
29,4.6,Snack ,motorcycle ,15,1.5525879817947141
36,4.9,Snack ,motorcycle ,27,4.5877613789702085
27,4.9,Snack ,motorcycle ,18,9.348493190107364
27,4.8,Drinks ,scooter ,13,10.865065738215941
25,4.0,Drinks ,motorcycle ,36,12.233151216488597
38,5.0,Drinks ,scooter ,33,1.554506332708861
36,5.0,Snack ,scooter ,31,7.546267706957737
36,4.7,Buffet ,electric_scooter ,27,11.719450614384204
32,4.4,Buffet ,electric_scooter ,42,11.91712870001259
31,4.6,Snack ,scooter ,17,6.037440799484659
26,4.9,Drinks ,electric_scooter ,16,16.822056546203214
37,4.7,Drinks ,scooter ,15,7.8626681674103684
37,5.0,Snack ,scooter ,15,3.145067434621583
33,4.0,Buffet ,motorcycle ,33,9.193014472266961
37,4.2,Meal ,motorcycle ,44,1.5318406299867455
32,4.7,Meal ,motorcycle ,28,13.788282220013778
36,4.9,Buffet ,scooter ,26,7.6481792534738355
27,4.6,Drinks ,motorcycle ,15,5.959032639454782
31,4.9,Buffet ,electric_scooter ,31,19.36320422209685
29,4.6,Snack ,motorcycle ,24,13.681056958913906
20,4.9,Snack ,motorcycle ,13,1.5297989528631668
29,4.9,Snack ,motorcycle ,20,7.325157361461918
33,3.5,Snack ,scooter ,43,19.762388480864143
29,4.8,Snack ,motorcycle ,25,17.29786575291325
35,5.0,Snack ,motorcycle ,31,6.050438648835732
35,4.9,Drinks ,motorcycle ,22,13.682164589270348
28,4.8,Buffet ,scooter ,26,7.763485791200292
27,4.9,Meal ,scooter ,18,12.419709768770852
22,4.8,Snack ,scooter ,24,7.60168152834193
32,4.9,Drinks ,scooter ,17,7.763180727989777
21,4.8,Snack ,motorcycle ,31,20.50758678093407
34,4.9,Meal ,motorcycle ,22,1.572533729286321
35,4.4,Buffet ,motorcycle ,32,9.121425981981247
21,4.7,Meal ,scooter ,40,19.364487993280896
20,4.8,Buffet ,motorcycle ,38,12.463970105023904
30,4.8,Meal ,motorcycle ,47,16.822155609317257
21,4.8,Meal ,scooter ,15,14.15280068944862
32,4.7,Drinks ,scooter ,31,4.6103798439313035
32,4.8,Drinks ,scooter ,25,7.450185408246092
23,4.9,Snack ,motorcycle ,27,17.138041435510257
39,4.8,Meal ,motorcycle ,35,19.880040740546
38,4.4,Snack ,motorcycle ,41,12.420345124240976
30,4.3,Drinks ,motorcycle ,37,19.66599261171412
29,4.1,Meal ,motorcycle ,33,16.609255559077656
28,5.0,Snack ,motorcycle ,22,9.348552276072713
31,4.7,Meal ,motorcycle ,25,16.411946865277123
32,4.9,Snack ,scooter ,29,19.36338289365832
36,4.7,Meal ,motorcycle ,31,4.596877706640377
33,4.8,Meal ,motorcycle ,24,3.104803710518419
22,5.0,Snack ,motorcycle ,44,10.587819003215479
35,3.4,Meal ,motorcycle ,31,20.182685858169084
25,4.8,Buffet ,scooter ,24,13.584306064167167
20,4.5,Meal ,motorcycle ,21,9.121874253616898
27,4.7,Drinks ,motorcycle ,29,7.763183552897837
25,4.6,Drinks ,electric_scooter ,24,12.435597855540221
26,4.3,Meal ,motorcycle ,32,10.564987742503256
24,4.5,Drinks ,motorcycle ,22,20.180908601250216
22,5.0,Drinks ,motorcycle ,15,19.660943947619934
21,4.5,Buffet ,motorcycle ,18,4.6741517745550425
31,4.4,Buffet ,motorcycle ,38,16.819856608097247
33,4.9,Drinks ,motorcycle ,39,13.768325585874765
20,4.7,Buffet ,scooter ,16,9.074744674241003
36,4.7,Drinks ,motorcycle ,28,4.663545220952834
33,4.7,Buffet ,scooter ,26,9.17813837505589
29,4.7,Meal ,electric_scooter ,25,20.86362506156607
20,4.8,Snack ,electric_scooter ,28,9.326603239772547
37,4.6,Buffet ,motorcycle ,36,5.9592931098219735
24,4.9,Snack ,motorcycle ,35,13.612393202818852
37,4.9,Drinks ,motorcycle ,25,17.07302628964209
21,4.5,Meal ,scooter ,24,9.19302787417212
24,4.8,Snack ,motorcycle ,10,12.234645517155798
29,4.6,Buffet ,motorcycle ,19,3.073391571443161
37,4.7,Snack ,scooter ,18,4.528158738548494
20,4.9,Meal ,electric_scooter ,19,9.075228438646324
31,4.5,Buffet ,scooter ,16,3.0271161751898896
32,4.8,Meal ,motorcycle ,44,13.428485784085463
28,4.7,Drinks ,motorcycle ,23,17.073813051007523
29,4.6,Meal ,electric_scooter ,23,13.972751063504559
24,4.8,Snack ,motorcycle ,33,12.464329547626278
23,4.8,Snack ,scooter ,32,19.760743726313585
38,4.3,Drinks ,scooter ,32,4.596877706640377
27,4.9,Snack ,electric_scooter ,24,6.210618323092562
39,4.7,Drinks ,motorcycle ,26,6.037544630194255
